session_slug,turn1_method_mathematical_validity_override,turn1_method_review_note
claude-opus-4.5__2026-04-10T14-17-01,Incorrect,"Manual Schema A review: proposed `[G(y, t)] = [t] + 1`, so the interpretation collapses the first argument of `G`. That shape fails under context closure via `Step.g_left`; see `KO7Benchmark.SchemaTests.GCollapseBarrier.no_g_left_function_form_orients_step`."
claude-opus-4.6__2026-04-04T19-37-47,Incorrect,"Manual Schema A review: proposed `[G(a, b)] = b + 1`, so the interpretation collapses the first argument of `G`. That shape fails under context closure via `Step.g_left`; see `KO7Benchmark.SchemaTests.GCollapseBarrier.no_g_left_function_form_orients_step`."
deepseek-v3.2__2026-04-05T07-13-05,Incorrect,"Manual Schema A review: proposed `[G(a, b)] = [b]`, so the interpretation collapses the first argument of `G`. That shape fails under context closure via `Step.g_left`; see `KO7Benchmark.SchemaTests.GCollapseBarrier.no_g_left_function_form_orients_step`."
gpt-5.2__2026-04-04T19-37-12,Incorrect,"Manual Schema A review: proposed `G(y, u) := u`, so the interpretation collapses the first argument of `G`. That shape fails under context closure via `Step.g_left`; see `KO7Benchmark.SchemaTests.GCollapseBarrier.no_g_left_function_form_orients_step`."
gpt-5.3-codex__2026-04-05T10-15-18,Incorrect,"Manual Schema A review: proposed `[G](a, b) = b`, so the interpretation collapses the first argument of `G`. That shape fails under context closure via `Step.g_left`; see `KO7Benchmark.SchemaTests.GCollapseBarrier.no_g_left_function_form_orients_step`."
claude-sonnet-4.6__2026-04-05T07-10-53,Incorrect,"Manual Schema A review: explicit nonlinear polynomial witness `[F(x, y, n)] = (x + y + 1)(n + 1)` with `[G(y, z)] = y + z`; corrected `turn1_method_mathematical_validity = Incorrect` under strict answer-key alignment because Schema A `polynomial` is `truthOnly`, not adequate."
deepseek-r1-0528__2026-04-05T07-12-12,Incorrect,"Manual Schema A review: multi-method row. Turn 1 gives a global F-subterm weight argument and separately names RPO; corrected `turn1_method_mathematical_validity = Incorrect` under strict answer-key alignment because the stored coarse family label remains `polynomial`, and Schema A `polynomial` is `truthOnly`, not adequate."
glm-5__2026-04-05T06-56-42,Incorrect,"Manual Schema A review: explicit nonlinear polynomial witness `[[F(x, y, z)]] = x + yz + z + 1` with `[[G(x, y)]] = x + y`; corrected `turn1_method_mathematical_validity = Incorrect` under strict answer-key alignment because Schema A `polynomial` is `truthOnly`, not adequate."
gpt-5.4-pro__2026-04-05T07-18-54,Incorrect,"Manual Schema A review: explicit nonlinear polynomial witness `[[F(x, y, n)]] = x + (n + 1)(y + 1)` with `[[G(a, b)]] = a + b`; corrected `turn1_method_mathematical_validity = Incorrect` under strict answer-key alignment because Schema A `polynomial` is `truthOnly`, not adequate."
gpt-5.4-pro__2026-04-05T07-19-12,Incorrect,"Manual Schema A review: explicit nonlinear polynomial witness `[[F(x, y, z)]] = x + (z + 1)(y + 1)` with `[[G(a, b)]] = a + b`; corrected `turn1_method_mathematical_validity = Incorrect` under strict answer-key alignment because Schema A `polynomial` is `truthOnly`, not adequate."
grok-4-fast-reasoning__2026-04-05T07-22-58,Incorrect,"Manual Schema A review: explicit nonlinear polynomial witness `|F(x, y, n)| = (|x| + |y| + 1) * |n|` with `|G(y, t)| = |y| + |t| + 1`; corrected `turn1_method_mathematical_validity = Incorrect` under strict answer-key alignment because Schema A `polynomial` is `truthOnly`, not adequate."
gemini-3-flash-preview__2026-04-10T14-19-29,Correct,"Manual Schema A review: multi-method presentation (`RPO` plus structural induction), but the turn-1 answer explicitly names a simplification / recursive path ordering argument; kept `turn1_method_mathematical_validity = Correct`."
gpt-5.2__2026-04-05T10-13-13,Correct,Manual Schema A review: explicit LPO/RPO argument with chosen precedence `F > G > S > Z`; kept `turn1_method_mathematical_validity = Correct` under the path-order family.
gpt-5.2__2026-04-10T14-21-08,Correct,Manual Schema A review: explicit reduction-ordering / LPO-RPO argument centered on the `S(n) -> n` descent; kept `turn1_method_mathematical_validity = Correct` under the path-order family.
gpt-5.2__2026-04-11T19-36-14,Correct,"Manual Schema A review: primary turn-1 method is an LPO/RPO reduction-ordering argument, with an additional multiset-of-depth measure offered later; kept `turn1_method_mathematical_validity = Correct` under the path-order family."
gpt-5.4__2026-04-04T19-33-59,Correct,Manual Schema A review: explicit LPO/RPO simplification-order argument with precedence `F > G > S > Z`; kept `turn1_method_mathematical_validity = Correct` under the path-order family.
